Date,HS Code,Product,Specific Product,Port of Origin,Country of Destination,Port of Destination,Value(USD),Std Qty,Std Unit,Std Unit Price(USD),Qty,Unit,Value In FC,Unit Rate In FC,Unit Rate Currency,Value(INR),Shipment Mode,Invoice Value INR
28-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2180,Leather,JNPT,Spain,Algeciras,2373.12,100,NOS,23.73,100,PCS,2250,22.5,EUR,166000,Sea,0
28-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2164,Leather,JNPT,Spain,Algeciras,1386.7,100,NOS,13.87,100,PCS,1320,13.2,EUR,97000,Sea,0
28-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.1132,Leather,JNPT,Spain,Algeciras,2015.73,75,NOS,26.88,75,PCS,1916.25,25.55,EUR,141000,Sea,0
28-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2167,Leather,JNPT,Spain,Algeciras,2087.21,100,NOS,20.87,100,PCS,1975,19.75,EUR,146000,Sea,0
28-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2213,Leather,JNPT,Spain,Algeciras,1529.66,100,NOS,15.3,100,PCS,1450,14.5,EUR,107000,Sea,0
28-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.1132,Leather,JNPT,Spain,Algeciras,2687.63,75,NOS,35.84,75,PCS,2550,34,EUR,188000,Sea,0
28-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.1132,Leather,JNPT,Spain,Algeciras,2744.82,75,NOS,36.6,75,PCS,2610,34.8,EUR,192000,Sea,0
28-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2164,Leather,JNPT,Spain,Algeciras,1458.18,100,NOS,14.58,100,PCS,1385,13.85,EUR,102000,Sea,0
28-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.1132,Leather,JNPT,Spain,Algeciras,2501.79,70,NOS,35.74,70,PCS,2380,34,EUR,175000,Sea,0
28-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.1132,Leather,JNPT,Spain,Algeciras,2687.63,75,NOS,35.84,75,PCS,2550,34,EUR,188000,Sea,0
28-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2180,Leather,JNPT,Spain,Algeciras,2373.12,100,NOS,23.73,100,PCS,2250,22.5,EUR,166000,Sea,0
28-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.1132,Leather,JNPT,Spain,Algeciras,2015.73,75,NOS,26.88,75,PCS,1916.25,25.55,EUR,141000,Sea,0
28-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.1132,Leather,JNPT,Spain,Algeciras,1887.06,70,NOS,26.96,70,PCS,1788.5,25.55,EUR,132000,Sea,0
28-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2213,Leather,JNPT,Spain,Algeciras,814.87,50,NOS,16.3,50,PCS,775,15.5,EUR,57000,Sea,0
28-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2167,Leather,JNPT,Spain,Algeciras,1443.89,100,NOS,14.44,100,PCS,1375,13.75,EUR,101000,Sea,0
28-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2213,Leather,JNPT,Spain,Algeciras,1486.78,75,NOS,19.82,75,PCS,1410,18.8,EUR,104000,Sea,0
28-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.1132,Leather,JNPT,Spain,Algeciras,1100.79,30,NOS,36.69,30,PCS,1044,34.8,EUR,77000,Sea,0
28-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2164,Leather,JNPT,Spain,Algeciras,2416.01,100,NOS,24.16,100,PCS,2300,23,EUR,169000,Sea,0
28-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2167,Leather,JNPT,Spain,Algeciras,2487.49,100,NOS,24.87,100,PCS,2365,23.65,EUR,174000,Sea,0
27-Jan-20,42022110,HAND BAGS OF LEATHER FOR LADIES,Leather,JNPT,Germany,Hamburg,4801.88,300,NOS,16.01,300,PCS,4875,16.25,USD,335891.21,Sea,0
27-Jan-20,42022110,COW STAIN WASH LEATHER HAND BAGS WALLET WITH METAL ( ALLOW ) MADE BY MACHINE 1 00% GENUINE COW STAIN WASH LEATHER HAND,Leather,JNPT,Netherlands,Rotterdam,26019.8,1000,NOS,26.02,1000,PCS,26020,26.02,USD,1820084.99,Sea,0
27-Jan-20,42022110,100% LADIES LEATHER HAND BAG -LEATHERCO W-CAMERA GIRL-STYLE NOBQ95659-PO NOIQ4 3B001-COLOUR-NOIR 02,Leather,JNPT,France,Le Havre,13737.55,431,NOS,31.87,431,PCS,12391.25,28.75,EUR,960941.39,Sea,0
27-Jan-20,42022110,100% LADIES LEATHER HAND BAG -LEATHERCO W-CAMERA GIRL-STYLE NOBQ95659-PO NOIQ4 8B002-COLOUR-NOIR 02,Leather,JNPT,France,Le Havre,1466.19,46,NOS,31.87,46,PCS,1322.5,28.75,EUR,102559.92,Sea,0
25-Jan-20,42022110,LADIES LEATHER BAGS,Leather,JNPT,Denmark,Aarhus,4045.75,225,NOS,17.98,225,PCS,4038.75,17.95,USD,283000,Sea,0
25-Jan-20,42022110,LADIES LEATHER BAGS,Leather,JNPT,Denmark,Aarhus,2330.24,120,NOS,19.42,120,PCS,2328,19.4,USD,163000,Sea,0
25-Jan-20,42022110,LADIES KEATHER BAGS,Leather,JNPT,Denmark,Aarhus,2144.39,100,NOS,21.44,100,PCS,2150,21.5,USD,150000,Sea,0
25-Jan-20,42022110,LADIES LEATHER BAGS,Leather,JNPT,Denmark,Aarhus,1415.3,70,NOS,20.22,70,PCS,1421,20.3,USD,99000,Sea,0
25-Jan-20,42022110,100% LEATHER HAND BAGS - LEANE LEATHER H AND BAGS,Leather,JNPT,Germany,Hamburg,6107,500,NOS,12.21,500,PCS,6200,12.4,USD,427184.65,Sea,0
25-Jan-20,42022110,LADIES LEATHER BAGS,Leather,JNPT,Denmark,Aarhus,1315.23,60,NOS,21.92,60,PCS,1320,22,USD,92000,Sea,0
24-Jan-20,42022110,LADIES LEATHER HAND BAG 100% COW LEATHER,Leather,JNPT,France,Antwerpen,20443.17,400,NOS,51.11,400,PCS,18440,46.1,EUR,1430000,Sea,0
24-Jan-20,42022110,LADIES LEATHER HAND BAG 100% COW LEATHER LG-6500/CABAS LADY 701205/BAG /COW VEG/ BLACK,Leather,JNPT,France,Antwerpen,7768.53,152,NOS,51.11,152,PCS,7007.2,46.1,EUR,543408.36,Sea,0
22-Jan-20,42022110,LADIES LEATHER DAY CUBE TOTE BAG (COW LE ATHER),Leather,JNPT,Denmark,Aarhus,3643.02,106,NOS,34.37,106,PCS,3286,31,EUR,254829.25,Sea,0
22-Jan-20,42022110,LEATHER GOODS LADIES IN COW LEATHER CROS SOVER BAG,Leather,JNPT,Denmark,Aarhus,1516.63,80,NOS,18.96,80,PCS,1440,18,EUR,106088.39,Sea,0
22-Jan-20,42022110,LEATHER BAGS,Leather,JNPT,Spain,Barcelona,65.19,24,NOS,2.72,24,PCS,58.8,2.45,EUR,4559.94,Sea,0
20-Jan-20,42022110,LADIES COW LEATHER BAGS,Leather,JNPT,Netherlands,Rotterdam,7815.98,300,NOS,26.05,300,PCS,7050,23.5,EUR,546727.5,Sea,0
20-Jan-20,42022110,LEATHER LADIES HAND BAGS : B1421-2,Leather,JNPT,Belgium,Antwerpen,4363.64,160,NOS,27.27,160,PCS,3936,24.6,EUR,305236.85,Sea,0
20-Jan-20,42022110,LEATHER LADIES HAND BAGS : B1609-1,Leather,JNPT,Belgium,Antwerpen,4736.15,240,NOS,19.73,240,PCS,4272,17.8,EUR,331293.59,Sea,0
20-Jan-20,42022110,LEATHER LADIES HAND BAGS : B1861-1,Leather,JNPT,Belgium,Antwerpen,6596.46,170,NOS,38.8,170,PCS,5950,35,EUR,461422.45,Sea,0
20-Jan-20,42022110,100% LEATHER BAGS - FAUNA LEATHER HAND B AGS,Leather,JNPT,Germany,Hamburg,5663.75,500,NOS,11.33,500,PCS,5750,11.5,USD,396179.32,Sea,0
18-Jan-20,42022110,COW LEATHER GOODS- HAND BAG,Leather,JNPT,Germany,Hamburg,44353.32,1850,NOS,23.97,1850,PCS,44344.5,23.97,USD,3102514.43,Sea,0
17-Jan-20,42022110,COW LEATHER GOODS- HAND BAG,Leather,JNPT,Germany,Hamburg,1401,50,NOS,28.02,50,PCS,1275,25.5,EUR,98000,Sea,0
17-Jan-20,42022110,COW LEATHER GOODS- HAND BAG,Leather,JNPT,Germany,Hamburg,2458.9,100,NOS,24.59,100,PCS,2250,22.5,EUR,172000,Sea,0
17-Jan-20,42022110,COW LEATHER GOODS- HAND BAG,Leather,JNPT,Germany,Hamburg,3774.12,150,NOS,25.16,150,PCS,3450,23,EUR,264000,Sea,0
17-Jan-20,42022110,COW LEATHER GOODS- HAND BAG,Leather,JNPT,Germany,Hamburg,1829.88,50,NOS,36.6,50,PCS,1675,33.5,EUR,128000,Sea,0
17-Jan-20,42022110,COW LEATHER GOODS- HAND BAG,Leather,JNPT,Germany,Hamburg,1315.23,100,NOS,13.15,100,PCS,1200,12,EUR,92000,Sea,0
17-Jan-20,42022110,COW LEATHER GOODS- HAND BAG,Leather,JNPT,Germany,Hamburg,1429.59,100,NOS,14.3,100,PCS,1300,13,EUR,100000,Sea,0
17-Jan-20,42022110,COW LEATHER GOODS- HAND BAG,Leather,JNPT,Germany,Hamburg,3173.7,100,NOS,31.74,100,PCS,2900,29,EUR,222000,Sea,0
17-Jan-20,42022110,COW LEATHER GOODS- HAND BAG,Leather,JNPT,Germany,Hamburg,4274.48,150,NOS,28.5,150,PCS,3900,26,EUR,299000,Sea,0
17-Jan-20,42022110,COW LEATHER GOODS- HAND BAG,Leather,JNPT,Germany,Hamburg,1615.44,100,NOS,16.15,100,PCS,1475,14.75,EUR,113000,Sea,0
17-Jan-20,42022110,COW LEATHER GOODS- HAND BAG,Leather,JNPT,Germany,Hamburg,1644.03,100,NOS,16.44,100,PCS,1500,15,EUR,115000,Sea,0
17-Jan-20,42022110,COW LEATHER GOODS- HAND BAG,Leather,JNPT,Germany,Hamburg,3173.7,100,NOS,31.74,100,PCS,2900,29,EUR,222000,Sea,0
17-Jan-20,42022110,COW LEATHER HAND BAG,Leather,JNPT,Italy,La Spezia,49127.56,1876,NOS,26.19,1876,PCS,49132.44,26.19,USD,3436472.82,Sea,0
15-Jan-20,42022110,LADIES PURSE(SAPANA ENTERPRISES GST-27A ABPG2349H1ZY Bill nos. 3269 3277 326 6)HAND BAGS WHETHER OR NOT WITH SHOULDER,Leather,Bombay Air,United Arab Emirates,Dubai,3411.27,265,NOS,12.87,265,NOS,3410.55,12.87,USD,240323.84,Air,0
14-Jan-20,42022110,LADIES COW LEATHER BAGS,Leather,JNPT,Netherlands,Rotterdam,10467.42,400,NOS,26.17,400,PCS,9400,23.5,EUR,737430,Sea,0
14-Jan-20,42022110,LEATHER GOODS LADIES GOAT LEATHER BAGS,Leather,JNPT,Germany,Hamburg,32153.92,1155,NOS,27.84,1155,PCS,28875,25,EUR,2265243.75,Sea,0
14-Jan-20,42022110,LADIES COW LEATHER BAGS,Leather,JNPT,Netherlands,Rotterdam,19509.5,730,NOS,26.73,730,PCS,17520,24,EUR,1374444,Sea,0
14-Jan-20,42022110,LEATHER HAND BAG,Leather,JNPT,Germany,Hamburg,7751,454,NOS,17.07,454,PCS,7749.78,17.07,USD,546057.95,Sea,0
14-Jan-20,42022110,LEATHER 100 % LAMB LEATHER BAG,Leather,JNPT,Denmark,Kobenhavn,6404.06,426,NOS,15.03,426,PCS,5751,13.5,EUR,451165.95,Sea,0
14-Jan-20,42022110,LADIES COW LEATHER BAGS,Leather,JNPT,Netherlands,Rotterdam,10912.85,400,NOS,27.28,400,PCS,9800,24.5,EUR,768810,Sea,0
14-Jan-20,42022110,LADIES COW LEATHER BAGS,Leather,JNPT,Netherlands,Rotterdam,6898.48,350,NOS,19.71,350,PCS,6195,17.7,EUR,485997.75,Sea,0
14-Jan-20,42022110,HAND BAGS OF LEATHER FOR LADIES,Leather,JNPT,Germany,Hamburg,8594.12,600,NOS,14.32,600,PCS,8592,14.32,USD,605455.81,Sea,0
13-Jan-20,42022110,LEATHER GOODS LADIES COW LEATHER BAG,Leather,JNPT,Denmark,Aarhus,6029.9,300,NOS,20.1,300,PCS,5700,19,EUR,424806.75,Sea,0
13-Jan-20,42022110,"LEATHER TOTE BAG -13.5""X15""",Leather,JNPT,New Zealand,Auckland,1050,25,NOS,42,25,PCS,1050,42,USD,73972.5,Sea,0
13-Jan-20,42022110,LEATHER HAND BAGS (BUFFALO LEATHER),Leather,JNPT,Denmark,Aarhus,8560.46,550,NOS,15.56,550,PCS,8558,15.56,USD,603084.37,Sea,0
13-Jan-20,42022110,HAND BAGS OF LEATHER FOR LADIES,Leather,JNPT,Germany,Hamburg,6089.43,500,NOS,12.18,500,PCS,6175,12.35,USD,429000,Sea,0
13-Jan-20,42022110,HAND BAGS OF LEATHER FOR LADIES,Leather,JNPT,Germany,Hamburg,2512.42,100,NOS,25.12,100,PCS,2550,25.5,USD,177000,Sea,0
13-Jan-20,42022110,LEATHER GARMENTS LADIES IN GOAT LEATHER BAG,Leather,JNPT,Denmark,Aarhus,1205.98,60,NOS,20.1,60,PCS,1140,19,EUR,84961.36,Sea,0
10-Jan-20,42022110,LEATHER HAND BAGS FOR LADIES ORDER NO. 1 11583,Leather,JNPT,Sweden,Gothenburg,12726,450,NOS,28.28,450,PCS,12726,28.28,USD,896546.55,Sea,0
10-Jan-20,42022110,LEATHER HAND BAGS FOR LADIES ORDER NO. 1 11581,Leather,JNPT,Sweden,Gothenburg,11800,400,NOS,29.5,400,PCS,11800,29.5,USD,831310.06,Sea,0
10-Jan-20,42022110,LEATHER HAND BAGS FOR LADIES ORDER NO. 1 11582,Leather,JNPT,Sweden,Gothenburg,18700,550,NOS,34,550,PCS,18700,34,USD,1317414.96,Sea,0
10-Jan-20,42022110,LEATHER HAND BAGS FOR LADIES ORDER NO. 1 12343,Leather,JNPT,Sweden,Gothenburg,4530.5,130,NOS,34.85,130,PCS,4530.5,34.85,USD,319173.66,Sea,0
10-Jan-20,42022110,LEATHER HAND BAGS FOR LADIES ORDER NO. 1 12347,Leather,JNPT,Sweden,Gothenburg,2950,50,NOS,59,50,PCS,2950,59,USD,207827.34,Sea,0
09-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO- 216,Leather,JNPT,Spain,Algeciras,5223.56,100,NOS,52.24,100,PCS,4940,49.4,EUR,368000,Sea,0
09-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2158,Leather,JNPT,Spain,Algeciras,2427.25,100,NOS,24.27,100,PCS,2290,22.9,EUR,171000,Sea,0
09-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO- 216,Leather,JNPT,Spain,Algeciras,5223.56,100,NOS,52.24,100,PCS,4940,49.4,EUR,368000,Sea,0
09-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2158,Leather,JNPT,Spain,Algeciras,1589.78,100,NOS,15.9,100,PCS,1505,15.05,EUR,112000,Sea,0
09-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2158,Leather,JNPT,Spain,Algeciras,3378.28,100,NOS,33.78,100,PCS,3190,31.9,EUR,238000,Sea,0
09-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2158,Leather,JNPT,Spain,Algeciras,1632.36,100,NOS,16.32,100,PCS,1540,15.4,EUR,115000,Sea,0
09-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2158,Leather,JNPT,Spain,Algeciras,2469.84,100,NOS,24.7,100,PCS,2340,23.4,EUR,174000,Sea,0
09-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2161,Leather,JNPT,Spain,Algeciras,2767.92,100,NOS,27.68,100,PCS,2610,26.1,EUR,195000,Sea,0
09-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2161,Leather,JNPT,Spain,Algeciras,2767.92,100,NOS,27.68,100,PCS,2610,26.1,EUR,195000,Sea,0
09-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2158,Leather,JNPT,Spain,Algeciras,2469.84,100,NOS,24.7,100,PCS,2340,23.4,EUR,174000,Sea,0
09-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2158,Leather,JNPT,Spain,Algeciras,794.89,50,NOS,15.9,50,PCS,752.5,15.05,EUR,56000,Sea,0
09-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2158,Leather,JNPT,Spain,Algeciras,1632.36,100,NOS,16.32,100,PCS,1540,15.4,EUR,115000,Sea,0
09-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2158,Leather,JNPT,Spain,Algeciras,1589.78,100,NOS,15.9,100,PCS,1505,15.05,EUR,112000,Sea,0
09-Jan-20,42022110,LADIES LEATHER HAND BAG AND FOR LADIES 1 00% COW LEATHER CAMERA GIRL COLOR VIPER GREEN 54,Leather,Bombay Air,France,Nantes,8772.04,274,NOS,32.01,274,PCS,7877.5,28.75,EUR,617989.88,Air,0
09-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2161,Leather,JNPT,Spain,Algeciras,2767.92,100,NOS,27.68,100,PCS,2610,26.1,EUR,195000,Sea,0
09-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO- 216,Leather,JNPT,Spain,Algeciras,3435.06,100,NOS,34.35,100,PCS,3245,32.45,EUR,242000,Sea,0
09-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2161,Leather,JNPT,Spain,Algeciras,2767.92,100,NOS,27.68,100,PCS,2610,26.1,EUR,195000,Sea,0
09-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2158,Leather,JNPT,Spain,Algeciras,2427.25,100,NOS,24.27,100,PCS,2290,22.9,EUR,171000,Sea,0
09-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2161,Leather,JNPT,Spain,Algeciras,4215.76,100,NOS,42.16,100,PCS,3980,39.8,EUR,297000,Sea,0
09-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2158,Leather,JNPT,Spain,Algeciras,2469.84,100,NOS,24.7,100,PCS,2340,23.4,EUR,174000,Sea,0
09-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2158,Leather,JNPT,Spain,Algeciras,1632.36,100,NOS,16.32,100,PCS,1540,15.4,EUR,115000,Sea,0
09-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2158,Leather,JNPT,Spain,Algeciras,1589.78,100,NOS,15.9,100,PCS,1505,15.05,EUR,112000,Sea,0
09-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO- 216,Leather,JNPT,Spain,Algeciras,3435.06,100,NOS,34.35,100,PCS,3245,32.45,EUR,242000,Sea,0
09-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO- 216,Leather,JNPT,Spain,Algeciras,4215.76,100,NOS,42.16,100,PCS,3980,39.8,EUR,297000,Sea,0
09-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO- 216,Leather,JNPT,Spain,Algeciras,5223.56,100,NOS,52.24,100,PCS,4940,49.4,EUR,368000,Sea,0
09-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2158,Leather,JNPT,Spain,Algeciras,2427.25,100,NOS,24.27,100,PCS,2290,22.9,EUR,171000,Sea,0
09-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2158,Leather,JNPT,Spain,Algeciras,3378.28,100,NOS,33.78,100,PCS,3190,31.9,EUR,238000,Sea,0
09-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2158,Leather,JNPT,Spain,Algeciras,3378.28,100,NOS,33.78,100,PCS,3190,31.9,EUR,238000,Sea,0
09-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO- 216,Leather,JNPT,Spain,Algeciras,3435.06,100,NOS,34.35,100,PCS,3245,32.45,EUR,242000,Sea,0
09-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2161,Leather,JNPT,Spain,Algeciras,4215.76,100,NOS,42.16,100,PCS,3980,39.8,EUR,297000,Sea,0
09-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2158,Leather,JNPT,Spain,Algeciras,1632.36,100,NOS,16.32,100,PCS,1540,15.4,EUR,115000,Sea,0
09-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO- 216,Leather,JNPT,Spain,Algeciras,5223.56,100,NOS,52.24,100,PCS,4940,49.4,EUR,368000,Sea,0
09-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2161,Leather,JNPT,Spain,Algeciras,4215.76,100,NOS,42.16,100,PCS,3980,39.8,EUR,297000,Sea,0
09-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2158,Leather,JNPT,Spain,Algeciras,2469.84,100,NOS,24.7,100,PCS,2340,23.4,EUR,174000,Sea,0
07-Jan-20,42022110,HAND BAGS OF LEATHER FOR LADIES,Leather,JNPT,Germany,Hamburg,14381,1000,NOS,14.38,1000,PCS,14380,14.38,USD,1013141.58,Sea,0
07-Jan-20,42022110,LADIES LEATHER HAND BAGS,Leather,JNPT,France,Montoir de Bretagne,5253.92,200,NOS,26.27,200,PCS,4790,23.95,EUR,370138.87,Sea,0
06-Jan-20,42022110,LEATHER BAG,Leather,JNPT,Denmark,Aarhus,3353.56,156,NOS,21.5,156,PCS,3088.8,19.8,EUR,236258.45,Sea,0
06-Jan-20,42022110,LEATHER LADIES BAG AS PER INVOICE,Leather,JNPT,Germany,Hamburg,2871.69,150,NOS,19.14,150,PCS,2850,19,EUR,202310.78,Sea,0
04-Jan-20,42022110,LEATHER LADIES BAG- LEATHER HAND BAG SU EDE NI-02/02 ASSORTED MIX,Leather,JNPT,France,Le Havre,437.58,153,NOS,2.86,153,PCS,437.58,2.86,USD,30827.5,Sea,0
04-Jan-20,42022110,LEATHER LADIES BAG- LEATHER HAND BAG SU EDE NI-001 BLACK,Leather,JNPT,France,Le Havre,3412.6,1130,NOS,3.02,1130,PCS,3412.6,3.02,USD,240417.64,Sea,0
04-Jan-20,42022110,LADIES LEATHER HAND BAG (100%COW LEATHER) (CLAIM REWARDS UNDER(MEIS),Leather,JNPT,Germany,Hamburg,4080,100,NOS,40.8,100,PCS,4080,40.8,USD,287436,Sea,0
04-Jan-20,42022110,LEATHER LADIES BAG- LEATHER HAND BAG SU EDE NI-003/01 ASSORTED,Leather,JNPT,France,Le Havre,3724,1400,NOS,2.66,1400,PCS,3724,2.66,USD,262355.8,Sea,0
04-Jan-20,42022110,LEATHER LADIES BAG- LEATHER HAND BAG SU EDE NI-001 BLUE,Leather,JNPT,France,Le Havre,2204.6,730,NOS,3.02,730,PCS,2204.6,3.02,USD,155314.04,Sea,0
04-Jan-20,42022110,100% LADIES LEATHER HAND BAG -CAMERA GIR,Leather,JNPT,France,Le Havre,8772.18,274,NOS,32.02,274,PCS,7877.5,28.75,EUR,618000,Sea,0
04-Jan-20,42022110,LADIES LEATHER HAND BAGS : 100% COW LEAT HER KULMA SMALL BAG,Leather,JNPT,Australia,Melbourne,4485,130,NOS,34.5,130,PCS,4485,34.5,USD,315968.25,Sea,0
03-Jan-20,42022110,BAG 100 % GOAT LEATHER HANDBAG,Leather,JNPT,Spain,Valencia,26997.21,578,NOS,46.71,578,PCS,26998.38,46.71,USD,1901953.76,Sea,0
02-Jan-20,42022110,COW STAIN WASH LEATHER HAND BAGS WALLET WITH METAL ( ALLOW ) MADE BY MACHINE 1 00% GENUINE COW STAIN WASH LEATHER HAND,Leather,JNPT,Netherlands,Rotterdam,81129.89,3226,NOS,25.15,3226,PCS,81133.9,25.15,USD,5695318.43,Sea,0
